batch,signer_id,label,normalized_label,landmark_path,stickman_video_path,has_stickman_video,frame_count,first_pose_points,first_left_hand_points,first_right_hand_points,first_face_points,pose_frame_pct,left_hand_frame_pct,right_hand_frame_pct,face_frame_pct,both_hands_missing_frame_pct,sample_flags,matched_decision_ids,matched_scopes,matched_selected_actions,matched_review_statuses,matched_notes
Batch 1,196,.mp4,mp4,KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 1/196/Extract/Stickmans/.mp4.mp4,True,49,33,21,21,468,100.0,73.47,14.29,100.0,22.45,,sample::KSL-Dataset/Pose Data/Batch 1/196/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
Batch 1,204,DO,do,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/DO.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/DO.mp4,True,17,33,0,0,468,100.0,0.0,0.0,100.0,100.0,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/DO.npy,sample,drop_sample,pending,both hands missing across all frames
Batch 1,204,TELL,tell,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/TELL.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/TELL.mp4,True,13,33,0,0,468,100.0,0.0,0.0,100.0,100.0,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/TELL.npy,sample,drop_sample,pending,both hands missing across all frames
Batch 1,208,.mp4,mp4,KSL-Dataset/Pose Data/Batch 1/208/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 1/208/Extract/Stickmans/.mp4.mp4,True,52,33,0,21,468,100.0,94.23,100.0,100.0,0.0,,sample::KSL-Dataset/Pose Data/Batch 1/208/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
Batch 1,238,CANCEL,cancel,KSL-Dataset/Pose Data/Batch 1/238/Extract/Landmarks/CANCEL.npy,KSL-Dataset/Pose Data/Batch 1/238/Extract/Stickmans/CANCEL.mp4,True,27,33,0,0,468,100.0,0.0,0.0,100.0,100.0,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample::KSL-Dataset/Pose Data/Batch 1/238/Extract/Landmarks/CANCEL.npy,sample,drop_sample,pending,both hands missing across all frames
Batch 1,251,PAST,past,KSL-Dataset/Pose Data/Batch 1/251/Extract/Landmarks/PAST.npy,KSL-Dataset/Pose Data/Batch 1/251/Extract/Stickmans/PAST.mp4,True,40,33,0,0,468,100.0,0.0,0.0,100.0,100.0,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample::KSL-Dataset/Pose Data/Batch 1/251/Extract/Landmarks/PAST.npy,sample,drop_sample,pending,both hands missing across all frames
Batch 1,264,.mp4,mp4,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/.mp4.mp4,True,26,33,21,0,468,100.0,100.0,0.0,100.0,0.0,right_hand_missing_all_frames,sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
Batch 1,264,FINISH,finish,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/FINISH.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/FINISH.mp4,True,20,33,0,0,468,100.0,0.0,0.0,100.0,100.0,left_hand_missing_all_frames;right_hand_missing_all_frames;both_hands_missing_all_frames,sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/FINISH.npy,sample,drop_sample,pending,both hands missing across all frames
Batch 2,112,.mp4,mp4,KSL-Dataset/Pose Data/Batch 2/112/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/112/Extract/Stickmans/.mp4.mp4,True,52,33,21,21,468,100.0,100.0,90.38,100.0,0.0,,sample::KSL-Dataset/Pose Data/Batch 2/112/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
Batch 2,149,.mp4,mp4,KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/149/Extract/Stickmans/.mp4.mp4,True,21,33,21,21,468,100.0,85.71,76.19,100.0,4.76,,sample::KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
Batch 2,161,.mp4,mp4,KSL-Dataset/Pose Data/Batch 2/161/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/161/Extract/Stickmans/.mp4.mp4,True,19,33,21,21,468,100.0,100.0,100.0,100.0,0.0,,sample::KSL-Dataset/Pose Data/Batch 2/161/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
Batch 2,166,.mp4,mp4,KSL-Dataset/Pose Data/Batch 2/166/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/166/Extract/Stickmans/.mp4.mp4,True,85,33,21,21,468,100.0,100.0,100.0,100.0,0.0,,sample::KSL-Dataset/Pose Data/Batch 2/166/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
Batch 2,65,.mp4,mp4,KSL-Dataset/Pose Data/Batch 2/65/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/65/Extract/Stickmans/.mp4.mp4,True,48,33,21,21,468,100.0,100.0,100.0,100.0,0.0,,sample::KSL-Dataset/Pose Data/Batch 2/65/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
Batch 2,76,.mp4,mp4,KSL-Dataset/Pose Data/Batch 2/76/Extract/Landmarks/.mp4.npy,KSL-Dataset/Pose Data/Batch 2/76/Extract/Stickmans/.mp4.mp4,True,33,33,21,21,468,100.0,100.0,51.52,100.0,0.0,,sample::KSL-Dataset/Pose Data/Batch 2/76/Extract/Landmarks/.mp4.npy;label::.mp4,sample;label,drop_sample;drop_label,pending;pending,"filename-like label; sample dropped until correct gloss is known; filename-like label, not a valid KSL gloss"
